NAME,HEIGHT,MASS,HAIR_COLOR,SKIN_COLOR,EYE_COLOR,BIRTH_YEAR,GENDER,HOMEWORLD,SPECIES
Luke Skywalker,172,77,blond,fair,blue,19BBY,male,Tatooine,Human
C-3PO,167,75,NA,gold,yellow,112BBY,NA,Tatooine,Droid
R2-D2,96,32,NA,white & blue,red,33BBY,NA,Naboo,Droid
Darth Vader,202,136,none,white,yellow,41.9BBY,male,Tatooine,Human
Leia Organa,150,49,brown,light,brown,19BBY,female,Alderaan,Human
Owen Lars,178,120,brown & grey,light,blue,52BBY,male,Tatooine,Human
Beru Whitesun lars,165,75,brown,light,blue,47BBY,female,Tatooine,Human
R5-D4,97,32,NA,white & red,red,NA,NA,Tatooine,Droid
Biggs Darklighter,183,84,black,light,brown,24BBY,male,Tatooine,Human
Obi-Wan Kenobi,182,77,auburn & white,fair,blue-gray,57BBY,male,Stewjon,Human
Anakin Skywalker,188,84,blond,fair,blue,41.9BBY,male,Tatooine,Human
Wilhuff Tarkin,180,75,auburn & grey,fair,blue,64BBY,male,Eriadu,Human
Chewbacca,228,112,brown,NA,blue,200BBY,male,Kashyyyk,Wookiee
Han Solo,180,80,brown,fair,brown,29BBY,male,Corellia,Human
Greedo,173,74,NA,green,black,44BBY,male,Rodia,Rodian
Wedge Antilles,170,77,brown,fair,hazel,21BBY,male,Corellia,Human
Jek Tono Porkins,180,110,brown,fair,blue,NA,male,Bestine IV,Human
Palpatine,170,75,grey,pale,yellow,82BBY,male,Naboo,Human
Boba Fett,183,78.2,black,fair,brown,31.5BBY,male,Kamino,Human
Bossk,190,113,none,green,red,53BBY,male,Trandosha,Trandoshan
Lando Calrissian,177,79,black,dark,brown,31BBY,male,Socorro,Human
Lobot,175,79,none,light,blue,37BBY,male,Bespin,Human
Ackbar,180,83,none,brown mottle,orange,41BBY,male,Mon Cala,Mon Calamari
Mon Mothma,150,60,auburn,fair,blue,48BBY,female,Chandrila,Human
Wicket Systri Warrick,88,20,brown,brown,brown,8BBY,male,Endor,Ewok
Nien Nunb,160,68,none,grey,black,NA,male,Sullust,Sullustan
Nute Gunray,191,90,none,mottled green,red,NA,male,Cato Neimoidia,Neimodian
Finis Valorum,170,65,blond,fair,blue,91BBY,male,Coruscant,Human
Jar Jar Binks,196,66,none,orange,orange,52BBY,male,Naboo,Gungan
Roos Tarpals,224,82,none,grey,orange,NA,male,Naboo,Gungan
Rugor Nass,206,93,none,green,orange,NA,male,Naboo,Gungan
Watto,137,62,black,blue & grey,yellow,NA,male,Toydaria,Toydarian
Sebulba,112,40,none,grey & red,orange,NA,male,Malastare,Dug
Shmi Skywalker,163,70,black,fair,brown,72BBY,female,Tatooine,Human
Darth Maul,175,80,none,red,yellow,54BBY,male,Dathomir,Zabrak
Bib Fortuna,180,110,none,pale,pink,NA,male,Ryloth,Twi'lek
Ayla Secura,178,55,none,blue,hazel,48BBY,female,Ryloth,Twi'lek
Dud Bolt,94,45,none,blue & grey,yellow,NA,male,Vulpter,Vulptereen
Gasgano,122,50,none,white & blue,black,NA,male,Troiken,Xexto
Ben Quadinaros,163,65,none,grey & green & yellow,orange,NA,male,Tund,Toong
Mace Windu,188,84,none,dark,brown,72BBY,male,Haruun Kal,Human
Ki-Adi-Mundi,198,82,white,pale,yellow,92BBY,male,Cerea,Cerean
Kit Fisto,196,87,none,green,black,NA,male,Glee Anselm,Nautolan
Eeth Koth,171,57,black,brown,brown,NA,male,Iridonia,Zabrak
Adi Gallia,184,50,none,dark,blue,NA,female,Coruscant,Tholothian
Saesee Tiin,188,67,none,pale,orange,NA,male,Iktotch,Iktotchi
Yarael Poof,264,95,none,white,yellow,NA,male,Quermia,Quermian
Plo Koon,188,80,none,orange,black,22BBY,male,Dorin,Kel Dor
Mas Amedda,196,90,none,blue,blue,NA,male,Champala,Chagrian
Gregar Typho,185,85,black,dark,brown,NA,male,Naboo,Human
Cord̩,157,55,brown,light,brown,NA,female,Naboo,Human
Cliegg Lars,183,70,brown,fair,blue,82BBY,male,Tatooine,Human
Poggle the Lesser,183,80,none,green,yellow,NA,male,Geonosis,Geonosian
Luminara Unduli,170,56.2,black,yellow,blue,58BBY,female,Mirial,Mirialan
Barriss Offee,166,50,black,yellow,blue,40BBY,female,Mirial,Mirialan
Dorm̩,165,68,brown,light,brown,NA,female,Naboo,Human
Dooku,193,80,white,fair,brown,102BBY,male,Serenno,Human
Bail Prestor Organa,191,82,black,tan,brown,67BBY,male,Alderaan,Human
Jango Fett,183,79,black,tan,brown,66BBY,male,Concord Dawn,Human
Zam Wesell,168,55,blonde,fair & green & yellow,yellow,NA,female,Zolan,Clawdite
Dexter Jettster,198,102,none,brown,yellow,NA,male,Ojom,Besalisk
Lama Su,229,88,none,grey,black,NA,male,Kamino,Kaminoan
Taun We,213,89,none,grey,black,NA,female,Kamino,Kaminoan
Jocasta Nu,167,67,white,fair,blue,NA,female,Coruscant,Human
Ratts Tyerell,79,18,none,grey & blue,NA,NA,male,Aleen Minor,Aleena
Wat Tambor,193,48,none,green & grey,NA,NA,male,Skako,Skakoan
San Hill,191,89,none,grey,gold,NA,male,Muunilinst,Muun
Shaak Ti,178,57,none,red & blue & white,black,NA,female,Shili,Togruta
Grievous,216,159,none,brown & white,green & yellow,NA,male,Kalee,Kaleesh
Tarfful,234,136,brown,brown,blue,NA,male,Kashyyyk,Wookiee
Raymus Antilles,188,79,brown,light,brown,NA,male,Alderaan,Human
Tion Medon,206,80,none,grey,black,NA,male,Utapau,Pau'an
Padm̩ Amidala,165,45,brown,light,brown,46BBY,female,Naboo,Human
Yoda,66,17,white,green,brown,896BBY,male,NA,Yoda's species
IG-88,200,140,none,metal,red,15BBY,none,NA,Droid
Qui-Gon Jinn,193,89,brown,fair,blue,92BBY,male,NA,Human
R4-P17,96,36,none,silver & red,red & blue,NA,female,NA,NA
Poe Dameron,178,79,brown,light,brown,NA,male,NA,Human
BB8,96,32,none,none,black,NA,none,NA,Droid
Finn,175,86,black,dark,dark,NA,male,NA,Human